freq,freq_label,size_emp,size_emp_label,nace_r2,nace_r2_label,indic_is,indic_is_label,unit,unit_label,geo,geo_label,time,time_label,value,status
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,DK,Denmark,2025,2025,30.47,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,DE,Germany,2025,2025,37.83,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,EE,Estonia,2025,2025,37.62,d
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,IE,Ireland,2025,2025,41.5,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,EL,Greece,2025,2025,30.91,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,35.66,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,FR,France,2025,2025,37.37,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,HR,Croatia,2025,2025,28.52,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,IT,Italy,2025,2025,43.61,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,CY,Cyprus,2025,2025,38.6,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,LV,Latvia,2025,2025,31.0,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,LT,Lithuania,2025,2025,33.04,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,LU,Luxembourg,2025,2025,39.64,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,HU,Hungary,2025,2025,33.38,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,MT,Malta,2025,2025,33.09,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,NL,Netherlands,2025,2025,29.38,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,AT,Austria,2025,2025,39.06,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,PL,Poland,2025,2025,32.11,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,PT,Portugal,2025,2025,36.25,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,RO,Romania,2025,2025,26.87,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SI,Slovenia,2025,2025,35.5,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SK,Slovakia,2025,2025,31.28,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,FI,Finland,2025,2025,30.09,
