geo,geo_label,geo_eurostat,iso_a2,iso_a3,year,is_eu_aggregate,metric,value
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_without_sophisticated_cloud_or_data_pct,2.04
AT,Austria,AT,AT,AUT,2025,False,cloud_and_data_analytics_pct,18.84
BE,Belgium,BE,BE,BEL,2025,False,cloud_and_data_analytics_pct,40.36
BG,Bulgaria,BG,BG,BGR,2025,False,cloud_and_data_analytics_pct,10.32
CY,Cyprus,CY,CY,CYP,2025,False,cloud_and_data_analytics_pct,28.06
CZ,Czechia,CZ,CZ,CZE,2025,False,cloud_and_data_analytics_pct,33.36
DE,Germany,DE,DE,DEU,2025,False,cloud_and_data_analytics_pct,26.83
DK,Denmark,DK,DK,DNK,2025,False,cloud_and_data_analytics_pct,48.58
EE,Estonia,EE,EE,EST,2025,False,cloud_and_data_analytics_pct,40.31
EL,Greece,EL,GR,GRC,2025,False,cloud_and_data_analytics_pct,14.58
ES,Spain,ES,ES,ESP,2025,False,cloud_and_data_analytics_pct,26.94
FI,Finland,FI,FI,FIN,2025,False,cloud_and_data_analytics_pct,40.65
FR,France,FR,FR,FRA,2025,False,cloud_and_data_analytics_pct,21.81
HR,Croatia,HR,HR,HRV,2025,False,cloud_and_data_analytics_pct,27.52
HU,Hungary,HU,HU,HUN,2025,False,cloud_and_data_analytics_pct,25.31
IE,Ireland,IE,IE,IRL,2025,False,cloud_and_data_analytics_pct,27.21
IT,Italy,IT,IT,ITA,2025,False,cloud_and_data_analytics_pct,35.98
LT,Lithuania,LT,LT,LTU,2025,False,cloud_and_data_analytics_pct,40.13
LU,Luxembourg,LU,LU,LUX,2025,False,cloud_and_data_analytics_pct,25.07
LV,Latvia,LV,LV,LVA,2025,False,cloud_and_data_analytics_pct,25.48
MT,Malta,MT,MT,MLT,2025,False,cloud_and_data_analytics_pct,35.04
NL,Netherlands,NL,NL,NLD,2025,False,cloud_and_data_analytics_pct,44.96
PL,Poland,PL,PL,POL,2025,False,cloud_and_data_analytics_pct,20.24
PT,Portugal,PT,PT,PRT,2025,False,cloud_and_data_analytics_pct,23.9
RO,Romania,RO,RO,ROU,2025,False,cloud_and_data_analytics_pct,15.55
SE,Sweden,SE,SE,SWE,2025,False,cloud_and_data_analytics_pct,33.65
SI,Slovenia,SI,SI,SVN,2025,False,cloud_and_data_analytics_pct,22.96
SK,Slovakia,SK,SK,SVK,2025,False,cloud_and_data_analytics_pct,21.14
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,cloud_and_data_analytics_pct,27.47
AT,Austria,AT,AT,AUT,2025,False,cloud_data_but_no_ai_pct,5.63
BE,Belgium,BE,BE,BEL,2025,False,cloud_data_but_no_ai_pct,16.07
BG,Bulgaria,BG,BG,BGR,2025,False,cloud_data_but_no_ai_pct,6.07
CY,Cyprus,CY,CY,CYP,2025,False,cloud_data_but_no_ai_pct,20.9
CZ,Czechia,CZ,CZ,CZE,2025,False,cloud_data_but_no_ai_pct,16.41
DE,Germany,DE,DE,DEU,2025,False,cloud_data_but_no_ai_pct,10.97
DK,Denmark,DK,DK,DNK,2025,False,cloud_data_but_no_ai_pct,17.78
EE,Estonia,EE,EE,EST,2025,False,cloud_data_but_no_ai_pct,21.86
EL,Greece,EL,GR,GRC,2025,False,cloud_data_but_no_ai_pct,8.49
ES,Spain,ES,ES,ESP,2025,False,cloud_data_but_no_ai_pct,14.49
FI,Finland,FI,FI,FIN,2025,False,cloud_data_but_no_ai_pct,13.34
FR,France,FR,FR,FRA,2025,False,cloud_data_but_no_ai_pct,11.53
HR,Croatia,HR,HR,HRV,2025,False,cloud_data_but_no_ai_pct,16.09
HU,Hungary,HU,HU,HUN,2025,False,cloud_data_but_no_ai_pct,17.02
IE,Ireland,IE,IE,IRL,2025,False,cloud_data_but_no_ai_pct,19.48
IT,Italy,IT,IT,ITA,2025,False,cloud_data_but_no_ai_pct,23.62
LT,Lithuania,LT,LT,LTU,2025,False,cloud_data_but_no_ai_pct,24.42
LU,Luxembourg,LU,LU,LUX,2025,False,cloud_data_but_no_ai_pct,9.44
LV,Latvia,LV,LV,LVA,2025,False,cloud_data_but_no_ai_pct,14.51
MT,Malta,MT,MT,MLT,2025,False,cloud_data_but_no_ai_pct,18.78
NL,Netherlands,NL,NL,NLD,2025,False,cloud_data_but_no_ai_pct,19.81
PL,Poland,PL,PL,POL,2025,False,cloud_data_but_no_ai_pct,12.76
PT,Portugal,PT,PT,PRT,2025,False,cloud_data_but_no_ai_pct,14.96
RO,Romania,RO,RO,ROU,2025,False,cloud_data_but_no_ai_pct,11.38
SE,Sweden,SE,SE,SWE,2025,False,cloud_data_but_no_ai_pct,11.26
SI,Slovenia,SI,SI,SVN,2025,False,cloud_data_but_no_ai_pct,10.1
SK,Slovakia,SK,SK,SVK,2025,False,cloud_data_but_no_ai_pct,10.59
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,cloud_data_but_no_ai_pct,14.33
AT,Austria,AT,AT,AUT,2025,False,cloud_use_pct,52.08
BE,Belgium,BE,BE,BEL,2025,False,cloud_use_pct,61.62
BG,Bulgaria,BG,BG,BGR,2025,False,cloud_use_pct,17.83
CY,Cyprus,CY,CY,CYP,2025,False,cloud_use_pct,51.38
CZ,Czechia,CZ,CZ,CZE,2025,False,cloud_use_pct,54.9
DE,Germany,DE,DE,DEU,2025,False,cloud_use_pct,53.91
DK,Denmark,DK,DK,DNK,2025,False,cloud_use_pct,68.88
EE,Estonia,EE,EE,EST,2025,False,cloud_use_pct,60.66
EL,Greece,EL,GR,GRC,2025,False,cloud_use_pct,24.33
ES,Spain,ES,ES,ESP,2025,False,cloud_use_pct,41.65
FI,Finland,FI,FI,FIN,2025,False,cloud_use_pct,79.21
FR,France,FR,FR,FRA,2025,False,cloud_use_pct,40.41
HR,Croatia,HR,HR,HRV,2025,False,cloud_use_pct,46.61
HU,Hungary,HU,HU,HUN,2025,False,cloud_use_pct,47.96
IE,Ireland,IE,IE,IRL,2025,False,cloud_use_pct,73.04
IT,Italy,IT,IT,ITA,2025,False,cloud_use_pct,75.6
LT,Lithuania,LT,LT,LTU,2025,False,cloud_use_pct,58.06
LU,Luxembourg,LU,LU,LUX,2025,False,cloud_use_pct,47.7
LV,Latvia,LV,LV,LVA,2025,False,cloud_use_pct,44.08
MT,Malta,MT,MT,MLT,2025,False,cloud_use_pct,75.07
NL,Netherlands,NL,NL,NLD,2025,False,cloud_use_pct,68.49
PL,Poland,PL,PL,POL,2025,False,cloud_use_pct,54.71
PT,Portugal,PT,PT,PRT,2025,False,cloud_use_pct,38.71
RO,Romania,RO,RO,ROU,2025,False,cloud_use_pct,24.94
SE,Sweden,SE,SE,SWE,2025,False,cloud_use_pct,72.0
SI,Slovenia,SI,SI,SVN,2025,False,cloud_use_pct,48.04
SK,Slovakia,SK,SK,SVK,2025,False,cloud_use_pct,36.44
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,cloud_use_pct,52.74
AT,Austria,AT,AT,AUT,2025,False,data_analytics_3_sources_pct,8.61
BE,Belgium,BE,BE,BEL,2025,False,data_analytics_3_sources_pct,25.81
BG,Bulgaria,BG,BG,BGR,2025,False,data_analytics_3_sources_pct,13.21
CY,Cyprus,CY,CY,CYP,2025,False,data_analytics_3_sources_pct,21.41
CZ,Czechia,CZ,CZ,CZE,2025,False,data_analytics_3_sources_pct,22.44
DE,Germany,DE,DE,DEU,2025,False,data_analytics_3_sources_pct,13.57
DK,Denmark,DK,DK,DNK,2025,False,data_analytics_3_sources_pct,28.56
EE,Estonia,EE,EE,EST,2025,False,data_analytics_3_sources_pct,29.01
EL,Greece,EL,GR,GRC,2025,False,data_analytics_3_sources_pct,13.0
ES,Spain,ES,ES,ESP,2025,False,data_analytics_3_sources_pct,22.98
FI,Finland,FI,FI,FIN,2025,False,data_analytics_3_sources_pct,26.7
FR,France,FR,FR,FRA,2025,False,data_analytics_3_sources_pct,10.41
HR,Croatia,HR,HR,HRV,2025,False,data_analytics_3_sources_pct,19.39
HU,Hungary,HU,HU,HUN,2025,False,data_analytics_3_sources_pct,8.99
IE,Ireland,IE,IE,IRL,2025,False,data_analytics_3_sources_pct,15.04
IT,Italy,IT,IT,ITA,2025,False,data_analytics_3_sources_pct,14.65
LT,Lithuania,LT,LT,LTU,2025,False,data_analytics_3_sources_pct,21.98
LU,Luxembourg,LU,LU,LUX,2025,False,data_analytics_3_sources_pct,15.26
LV,Latvia,LV,LV,LVA,2025,False,data_analytics_3_sources_pct,21.63
MT,Malta,MT,MT,MLT,2025,False,data_analytics_3_sources_pct,14.57
NL,Netherlands,NL,NL,NLD,2025,False,data_analytics_3_sources_pct,22.44
