geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
HU,Hungary,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.53
HU,Hungary,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.63
IT,Italy,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.96
IT,Italy,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.93
IT,Italy,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.18
IT,Italy,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.95
IT,Italy,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.37
IT,Italy,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.72
IT,Italy,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.42
IT,Italy,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,1.69
LU,Luxembourg,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,8.44
LU,Luxembourg,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.07
LU,Luxembourg,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,7.03
LU,Luxembourg,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.17
LU,Luxembourg,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.06
LU,Luxembourg,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,12.04
LU,Luxembourg,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,8.56
LU,Luxembourg,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.67
