geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
IE,Ireland,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.47
IE,Ireland,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,5.25
IE,Ireland,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,3.19
IE,Ireland,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,5.22
IT,Italy,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,4.22
IT,Italy,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,1.67
IT,Italy,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,1.99
IT,Italy,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.0
IT,Italy,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,5.43
IT,Italy,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,2.87
IT,Italy,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,3.27
LT,Lithuania,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,7.3
LT,Lithuania,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,6.56
LT,Lithuania,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,5.62
LT,Lithuania,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,2.84
LT,Lithuania,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,7.84
LT,Lithuania,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,3.74
LT,Lithuania,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,4.73
LU,Luxembourg,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,9.16
LU,Luxembourg,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,5.74
LU,Luxembourg,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,5.91
LU,Luxembourg,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.16
LU,Luxembourg,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,5.7
LU,Luxembourg,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,4.46
LU,Luxembourg,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,5.57
LV,Latvia,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,4.42
LV,Latvia,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,3.27
LV,Latvia,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,2.77
LV,Latvia,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.1
LV,Latvia,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,6.96
LV,Latvia,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,3.72
LV,Latvia,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,3.2
MT,Malta,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,4.57
MT,Malta,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,1.88
MT,Malta,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,5.51
MT,Malta,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.9
MT,Malta,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,8.25
MT,Malta,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,5.15
MT,Malta,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,2.99
NL,Netherlands,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,13.05
NL,Netherlands,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,7.54
NL,Netherlands,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,6.62
NL,Netherlands,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,2.09
NL,Netherlands,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,12.34
NL,Netherlands,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,6.91
NL,Netherlands,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,8.49
PL,Poland,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,3.58
